prompt_id;prompt;response_id;user;response;data_type;check_responseid;check_user;check_response;check_type
1;segala sesuatu yang dapat kita lihat ;2949;209;alam semesta;1;3046;249;alam semesta;DAILY CHECK
9;Kata yang digunakan untuk menyebut tempat atau wilayah di atas langit (di atas udara). ;2988;214;sugekh;1;3066;249;segar;DAILY CHECK
10;Kata yang digunakan untuk menyebut tempat atau wilayah di atas langit (di atas udara). ;2997;214;luakh angkase;1;3030;249;luar angkasa;DAILY CHECK
11;Kata yang menjelaskan sifat sesuatu yang ada di langit atau sesuatu yang terjadi di langit. ;2946;209;ni langit;1;3034;249;di langit;DAILY CHECK
12;Kata yang menjelaskan sifat sesuatu yang ada di langit atau sesuatu yang terjadi di langit. ;2995;214;di ndatas langit;1;3050;249;di atas langit;DAILY CHECK
13;Kata yang menjelaskan rupa langit, atau tampak seperti apa langit itu. ;2955;209;bikhu;1;3028;249;biru;DAILY CHECK
14;Kata yang menjelaskan rupa langit, atau tampak seperti apa langit itu. ;3004;214;cekhah;1;3025;249;cerah;DAILY CHECK
17;Kata yang digunakan untuk menyebut batas antara langit bagian bawah dengan permukaan bumi. ;2980;249;kiding langit;1;3098;209;kaki langit;DAILY CHECK
18;Kata yang digunakan untuk menyebut batas antara langit bagian bawah dengan permukaan bumi. ;2993;214;batas pemandangen;1;3031;249;batas pamandangan;DAILY CHECK
19;Kata yang digunakan untuk menyebut batas antara langit bagian bawah dengan permukaan bumi. ;2994;214;tepi langit;1;3039;249;tepi langit;DAILY CHECK
22;Kata yang digunakan untuk menyebut cahaya yang kadang-kadang tampak di sebelah utara (atau selatan) langit. (CATATAN: Kemungkinan cahaya ini tidak terlihat di negara tropis seperti Indonesia.) ;3003;214;cahaye di timukh;1;3077;249;cahaya di timur;DAILY CHECK
24;Kata yang digunakan untuk menjelaskan bahwa sesuatu ada di langit. ;3012;214;ni langit;1;3068;249;di langit;DAILY CHECK
27;Kata yang digunakan untuk menjelaskan bahwa sesuatu ada di langit. ;2968;249;ni datas langit;1;3097;209;di atas langit;DAILY CHECK
28;Kata yang digunakan untuk menyebut matahari. ;2973;249;matewakhi;1;3087;209;matahari;DAILY CHECK
29;Kata yang digunakan untuk menyebut matahari. ;2978;249;sukhya;1;3085;209;surya;DAILY CHECK
31; Kata yang digunakan untuk menyebut cara matahari bergerak. ;2983;249;metuk;1;3081;209;muncul;DAILY CHECK
189; Kata yang menjelaskan sifat suatu benda yang dibiarkan terbuka terhadap cuaca untuk waktu yang lama. ;2989;214;khusak ni telen cuace;1;3048;249;rusak di makan cuaca;DAILY CHECK
194; Apa saja alat yang digunakan untuk mempelajari tentang cuaca. ;2999;214;mbaling2 untum mempekikheken cuace;1;3041;249;baling² untum memperkirakan cuaca;DAILY CHECK
337; Kata yang digunakan untuk menyebut proses berakhirnya banjir. ;2974;249;sukhut;1;3173;214;surut;DAILY CHECK
342;Kata yang digunakan untuk menyebut saat sedikit turun hujan atau tidak hujan sama sekali. ;2984;249;malet hudan;1;3100;209;tidak hujan;DAILY CHECK
344; Kata yang menjelaskan ciri tanah ketika tidak ada hujan.;3010;214;gersang nine;1;3036;249;tandus dia;DAILY CHECK
353; Kata yang menjelaskan sifat sesuatu yang mempengaruhi seluruh dunia. ;2992;214;global dunie;1;3079;249;global dunia;DAILY CHECK
408; Apa yang dihasilkan oleh gunung api. ;2961;249;lahakh;1;3096;209;lahar;DAILY CHECK
409; Apa yang dihasilkan oleh gunung api. ;2966;249;abu;1;3088;209;debu;DAILY CHECK
410; Kata yang menjelaskan keadaan apakah suatu gunung api itu akan meletus atau tidak. ;2954;209;aktif;1;3040;249;aktif;DAILY CHECK
424;Apa saja jenis lembah. ;2987;214;ngarai be;1;3054;249;garai lu;DAILY CHECK
485; Kata yang digunakan untuk menyebut tanah yang bercampur dengan air. ;660;171;mekubhang;1;1291;124;berlumpur;DAILY CHECK
485; Kata yang digunakan untuk menyebut tanah yang bercampur dengan air. ;660;171;mekubhang;1;1293;204;berendam;DAILY CHECK
492; Apa yang dilakukan oleh debu. ;641;171;nangkih;1;893;169;naik;DAILY CHECK
494; Apa yang dilakukan oleh debu. ;640;171;ngkabhang;1;826;169;terbang;DAILY CHECK
494; Apa yang dilakukan oleh debu. ;640;171;ngkabhang;1;1280;205;kabang;DAILY CHECK
494; Apa yang dilakukan oleh debu. ;640;171;ngkabhang;1;1286;204;terbang;DAILY CHECK
494; Apa yang dilakukan oleh debu. ;640;171;ngkabhang;1;1320;211;terbang;DAILY CHECK
502; Kata yang digunakan untuk menyebut berbagai ukuran batu. ;654;171;bhatu kakhang;1;1287;205;batu karang ;DAILY CHECK
502; Kata yang digunakan untuk menyebut berbagai ukuran batu. ;654;171;bhatu kakhang;1;1289;204;batu karang;DAILY CHECK
503; Kata yang digunakan untuk menyebut berbagai ukuran batu. ;655;171;bhatu mbelin;1;1303;205;Batu besar;DAILY CHECK
504; Kata yang digunakan untuk menyebut berbagai ukuran batu. ;723;171;bhatu kekhekel;1;1292;237;batu;DAILY CHECK
505; Kata yang digunakan untuk menyebut berbagai ukuran batu. ;656;171;kosik;1;894;169;pasir;DAILY CHECK
524; Kata yang digunakan untuk menyebut potongan besi yang menarik potongan besi lainnya.;727;171;bhesi bekhani;1;1283;204;besi berani;DAILY CHECK
556; Kata yang digunakan untuk menyebut perubahan zat cair menjadi zat padat. ;728;171;kekhah, makhoh;1;1304;204;kering, tidak ada air;DAILY CHECK
1474; Kata yang digunakan untuk menyebut pemimpin sekelompok binatang (mis. anjing, kuda). ;2951;209;pemimping binatang kane;1;3064;249;pemimpin hewan juga;DAILY CHECK
1480;Kata yang digunakan untuk menyebut binatang jantan atau betina. ;2982;249;boguh;1;3091;209;laki;DAILY CHECK
1481;Kata yang digunakan untuk menyebut binatang jantan atau betina. ;3000;214;betine;1;3047;249;bAtinnya;DAILY CHECK
1484;Kata yang digunakan untuk menyebut dunia di sekitar kita. ;3009;214;dunie;1;3045;249;dunia;DAILY CHECK
1490; Kata yang digunakan untuk menyebut pelestarian lingkungan. ;2967;249;pelestakhien;1;3086;209;pelestarian;DAILY CHECK
1502; Kata yang digunakan untuk menyebut seseorang secara umum, bukan tentang orang tertentu. ;1425;216;kalak lain;1;1878;169;orang lain;DAILY CHECK
